origin,year,outflow_to_europe,wb_gdp_pc_growth,wb_population,wb_remit_in_pct_gdp,wb_unemployment,outflow_rate_per_1000,L1_outflow_rate_per_1000,L1_wb_remit_in_pct_gdp,L1_wb_unemployment,L1_wb_gdp_pc_growth,L1_outflow_x_remit_in
TM,1999,391.0,14.3821501150928,4492170.0,,12.7,0.08704033907888616,0.11563296464556115,,12.2,5.30847915925526,
TM,2000,467.0,3.38607015598539,4582677.0,,11.73,0.10190550195878958,0.08704033907888616,,12.7,14.3821501150928,
TM,2001,34.0,2.27429126448536,4675409.0,,10.898,0.007272091061979818,0.10190550195878958,,11.73,3.38607015598539,
TM,2002,350.0,-1.71993686168285,4769465.0,,10.141,0.07338349269781831,0.007272091061979818,,10.898,2.27429126448536,
TM,2003,45.0,1.26454237644147,4863865.0,,9.289,0.009251901522760191,0.07338349269781831,,10.141,-1.71993686168285,
TM,2004,350.0,3.00488650007382,4958093.0,,8.419,0.07059165691325273,0.009251901522760191,,9.289,1.26454237644147,
TM,2005,326.0,10.9273057666726,5052257.0,,7.495,0.06452561696683284,0.07059165691325273,,8.419,3.00488650007382,
TM,2006,206.0,8.92835366680281,5147105.0,,6.601,0.040022498083874335,0.06452561696683284,,7.495,10.9273057666726,
TM,2007,207.0,9.00626645930463,5244046.0,,5.719,0.03947333795317585,0.040022498083874335,,6.601,8.92835366680281,
TM,2008,214.0,12.5329864814578,5345029.0,,4.852,0.04003720092070595,0.03947333795317585,,5.719,9.00626645930463,
TM,2009,47.0,4.02604918231428,5451592.0,,4.0,0.008621334832100421,0.04003720092070595,,4.852,12.5329864814578,
TM,2010,37.0,6.98701634742274,5564356.0,,4.0,0.006649466712769636,0.008621334832100421,,4.0,4.02604918231428,
TM,2011,53.0,12.2971678479084,5683417.0,,4.003,0.009325375913820858,0.006649466712769636,,4.0,6.98701634742274,
TM,2012,45.0,8.70665885774136,5808546.0,,3.994,0.007747205582946231,0.009325375913820858,,4.003,12.2971678479084,
TM,2013,47.0,7.77319736128649,5939341.0,,3.993,0.007913335839784246,0.007747205582946231,,3.994,8.70665885774136,
TM,2014,478.0,7.83190052629024,6075283.0,,4.005,0.07867946233944988,0.007913335839784246,,3.993,7.77319736128649,
TM,2015,473.0,4.09291832714018,6215770.0,,4.016,0.0760967667722583,0.07867946233944988,,4.005,7.83190052629024,
TM,2016,243.0,3.79096200658724,6360041.0,,4.026,0.03820730086488436,0.0760967667722583,,4.016,4.09291832714018,
TM,2017,215.0,4.09374782222559,6507061.0,,4.035,0.03304103035149048,0.03820730086488436,,4.026,3.79096200658724,
