geo,year,ss_loo_origin_supply,ss_push_index_wb,ss_push_gdp_downturn,ss_push_conflict_log,ss_push_unemployment,ss_asylum_loo,ss_loo_origin_supply_logdiff,ss_asylum_loo_logdiff
IS,2014,99336.38763050248,-0.26769758144032696,-2.7309137370642746,0.050530498392800216,8.224083887905245,356.35234141278465,68.79405467239633,5.90151295499064
IS,2015,103028.23273704134,-0.49458816093221475,-3.105524480755634,0.04830277020351874,7.271231577019354,528.6537639660542,3.6491109590386372,39.35012717329105
IS,2016,88312.10757677515,-0.3122642580553903,-2.467502797457622,0.043462356005890455,6.448467366750107,497.18847304475247,-15.412583805326463,-6.124505217700005
IS,2017,84254.22046522987,-0.4325224058450701,-3.7357527801455643,0.04828187367331575,5.624921118505403,272.8841809634288,-4.703855433921689,-59.827314554332304
IS,2018,79555.58434580866,-0.9128382712694733,-3.8606633535297448,0.03615894458297186,4.824341840161182,257.27333781061117,-5.738271100755199,-5.868684683259229
IS,2019,67938.63373832346,-0.6445442600926977,-3.013127111497692,0.03453484495397146,4.470714024055193,304.5066853898284,-15.78510988102284,16.79531888285739
IS,2020,52922.051834666345,-0.7125794233025656,2.5042529559082674,0.03713757094321197,5.141389095793394,160.47286159106173,-24.978474182167787,-63.76345729500051
IS,2021,63868.496184138225,-0.6192812938671769,-6.868459634069331,0.03562178762836772,4.9019023749923685,161.84748763660787,18.800611146668267,0.8477015275202504
IS,2022,75065.80090359607,-0.7801412174858933,-3.37227421722653,0.07198547218024035,4.135883265156603,417.224800048843,16.153885192729867,94.3204982988692
IS,2023,71382.18523719396,0.012248013272807643,-0.42311221930357884,0.050676247852371424,4.236287807558459,448.3225471640515,-5.031674254335172,7.172191056571631
IS,2024,61466.00439587277,-0.30399302974866127,-2.3600392066406455,0.06349124601984386,4.3896701263813425,417.27577996214666,-14.956408380601793,-7.160002203488869
IT,1998,16979.858226672437,0.11227869203902313,-1.2663789181538223,0.2928868655021901,8.94971196596671,,,
IT,1999,19800.578497408533,0.024211784624852743,-1.5239173324768303,0.4059311056242723,9.405316813808072,,15.368332289653353,
IT,2000,29662.103278230745,0.017410744144099256,-3.379654731932918,0.30914040744699445,9.357268906161936,,40.41590928355756,
IT,2001,22421.668867906195,-0.5379949886360644,-4.645073858708201,0.2752240145847232,9.098130887829866,,-27.98423957060372,
IT,2002,43219.351039400346,-0.521080314647299,-4.490522170072572,0.17787783831740792,9.494900043063282,,65.62604842373733,
IT,2003,10490.931348330812,-0.2713290758966461,-3.8242689458559394,0.19900609654291473,9.064292613470727,,-141.57771328167232,
IT,2004,60934.49293854225,-0.4812461698690179,-6.996284761555194,0.15742890209354124,9.051215621231323,,175.92881980262138,
IT,2005,63398.098087110586,-0.28012865344714066,-4.691434291542577,0.15952749574004682,8.670707264806456,,3.9634461476278915,
IT,2006,70760.9520585988,-0.569579066053927,-6.4508118274794155,0.21043816180404687,8.218903910575667,,10.987346159078193,
IT,2007,93545.70345866692,-0.5406127840918742,-6.279734792047712,0.22497911810413032,7.574052326491284,,27.91427999539824,
IT,2008,63579.90606067116,-1.0464578759661463,-6.195169751505042,0.2948590137154865,7.008305469036887,585.7227369017554,-38.61526459284903,
IT,2009,33036.06475653902,-0.02018743801561433,1.7769603981080584,0.30457041498874,7.838738767489984,606.9679766701342,-65.4697641855936,3.556984156710552
IT,2010,37061.611069002516,0.17130714218831405,-2.0285755212900396,0.17675764178336953,7.905395351620396,726.1374076722199,11.49818556952873,17.89932554721476
IT,2011,41277.853935687395,-0.4011078920325246,-4.098128412787281,0.17495011637804328,7.954689743880872,781.2617644080435,10.774444000699468,7.307395552726614
IT,2012,32084.555942886425,-0.13128647263127866,-2.243704960415697,0.165339296829622,7.883269251895654,1184.3518464533142,-25.195134074535197,41.56055047083571
IT,2013,33935.488464461545,-0.21154740608082787,-2.3734547057911137,0.17262686144576417,8.076135182906434,1658.509601270827,5.608653308764389,33.648249044765336
IT,2014,83525.56842612397,-0.3533054568470519,-2.9114781386691986,0.4421011846444266,8.06830809068043,2667.8647874300223,90.0691469508482,47.51310709512957
IT,2015,97452.41943330357,-0.2837789562932028,-2.299612708006531,0.41669975332834563,7.976125117759155,6904.215077058727,15.421145939735048,95.06237256401579
IT,2016,90238.74105260574,-0.36019703003254905,-2.8074938451861677,0.3523478521157489,7.459199464828755,4547.0053987649735,-7.690541652695337,-41.75881714422367
IT,2017,93805.56901530332,-0.5765340534300396,-5.02131045085522,0.30702165798097225,6.897468025256973,2247.8870197446686,3.876538886407488,-70.42533270096287
IT,2018,91106.48512475567,-0.8612174660189621,-4.0376548072265095,0.2565343844201459,6.3798613219098,2126.2073727203824,-2.919523680295022,-5.56254090736088
IT,2019,92351.84243236968,-0.542859861123802,-3.1136057291107946,0.26017040700740945,6.067025842061064,2674.012960922884,1.3576668374135181,22.914419867316216
