geo,time_period,hpi_index,hpi_qoq_growth_eurostat,air_passengers,period,year,quarter,log_hpi,log_air_passengers,dlog_hpi_qoq,hpi_yoy,air_qoq,air_yoy,L1_air_qoq,L2_air_qoq,L1_air_yoy,L2_air_yoy,L1_hpi_yoy,L2_hpi_yoy,L1_dlog_hpi_qoq,L2_dlog_hpi_qoq,period_str,quarter_end,post_2020q1,pandemic_shock
PL,2020-Q1,131.66,3.6,7555060.0,2020Q1,2020,1,4.88022284203973,15.837728095417864,3.556342620134334,10.666100479118246,-36.15539166852901,-16.486511734361464,-30.88886580846477,17.359836235040405,10.494733034970594,4.163306352127094,9.01213981994724,8.578372903069287,2.76897802367424,2.0352985042597638,2020Q1,2020-03-31 23:59:59.999999999,1,1
PL,2020-Q2,134.31,2.0,112215.0,2020Q2,2020,2,4.9001505609209834,11.628171952974615,1.992771888125322,10.35339103619366,-420.9556142443249,-470.6400354862783,-36.15539166852901,-30.88886580846477,-16.486511734361464,10.494733034970594,10.666100479118246,9.01213981994724,3.556342620134334,2.76897802367424,2020Q2,2020-06-30 23:59:59.999999999,1,1
PL,2020-Q3,137.06,2.0,4483055.0,2020Q3,2020,3,4.920418786157677,15.315815291632472,2.0268225236693915,10.344915055603288,368.7643338657857,-119.23553785553302,-420.9556142443249,-36.15539166852901,-470.6400354862783,-16.486511734361464,10.35339103619366,10.666100479118246,1.992771888125322,3.556342620134334,2020Q3,2020-09-30 23:59:59.999999999,1,1
PL,2020-Q4,138.42,1.0,1675130.0,2020Q4,2020,4,4.930292541413717,14.331401332169952,0.9873755256039729,8.56331255753302,-98.44139594625202,-186.78806799332025,368.7643338657857,-420.9556142443249,-119.23553785553302,-470.6400354862783,10.344915055603288,10.35339103619366,2.0268225236693915,1.992771888125322,2020Q4,2020-12-31 23:59:59.999999999,1,1
PL,2021-Q1,141.16,2.0,982605.0,2021Q1,2021,1,4.949893998807069,13.797962487244344,1.9601457393352284,6.967115676733915,-53.34388449256071,-203.97656081735195,-98.44139594625202,368.7643338657857,-186.78806799332025,-119.23553785553302,8.56331255753302,10.344915055603288,0.9873755256039729,2.0268225236693915,2021Q1,2021-03-31 23:59:59.999999999,1,1
PL,2021-Q2,145.5,3.1,2663594.0,2021Q2,2021,2,4.980176086611547,14.795186896625589,3.0282087804478053,8.002552569056398,99.72244093812446,316.7014943650974,-53.34388449256071,-98.44139594625202,-203.97656081735195,-186.78806799332025,6.967115676733915,8.56331255753302,1.9601457393352284,0.9873755256039729,2021Q2,2021-06-30 23:59:59.999999999,1,1
PL,2021-Q3,149.28,2.6,8776899.0,2021Q3,2021,3,5.005823737099034,15.987633714159292,2.5647650487486295,8.540495094135636,119.24468175337033,67.18184225268206,99.72244093812446,-53.34388449256071,316.7014943650974,-203.97656081735195,8.002552569056398,6.967115676733915,3.0282087804478053,1.9601457393352284,2021Q3,2021-09-30 23:59:59.999999999,1,1
PL,2021-Q4,155.15,3.9,6470714.0,2021Q4,2021,4,5.044392390894389,15.682797015875227,3.8568653795355345,11.409984948067198,-30.483669828406512,135.13956837052757,119.24468175337033,99.72244093812446,67.18184225268206,316.7014943650974,8.540495094135636,8.002552569056398,2.5647650487486295,3.0282087804478053,2021Q4,2021-12-31 23:59:59.999999999,1,1
PL,2022-Q1,160.3,3.3,5476029.0,2022Q1,2022,1,5.0770470596155075,15.51589076121283,3.265466872111844,12.715306080843813,-16.690625466239695,171.79282739684857,-30.483669828406512,119.24468175337033,135.13956837052757,67.18184225268206,11.409984948067198,8.540495094135636,3.8568653795355345,2.5647650487486295,2022Q1,2022-03-31 23:59:59.999999999,1,0
PL,2022-Q2,163.5,2.0,10467440.0,2022Q2,2022,2,5.096812990337308,16.163780044831302,1.976593072180055,11.663690372576063,64.7889283618472,136.8593148205713,-16.690625466239695,-30.483669828406512,171.79282739684857,135.13956837052757,12.715306080843813,11.409984948067198,3.265466872111844,3.8568653795355345,2022Q2,2022-06-30 23:59:59.999999999,1,0
