rep_airp,country,icao,airport_name,municipality,latitude_deg,longitude_deg,coord_match,nuts2,crosswalk_method,distance_deg
FR_LFBV,FR,LFBV,,,,,unmatched,,,
FR_LFBX,FR,LFBX,Périgueux-Bassillac Airport,Périgueux/Bassillac,45.198101,0.815556,matched,FRI1,contains,0.0
FR_LFBZ,FR,LFBZ,Biarritz Pays Basque airport,Biarritz,43.468372,-1.523223,matched,FRI1,contains,0.0
FR_LFCK,FR,LFCK,Castres Mazamet Airport,Castres,43.556301,2.28918,matched,FRJ2,contains,0.0
FR_LFCR,FR,LFCR,Rodez–Aveyron Airport,Rodez/Marcillac,44.407902,2.48267,matched,FRJ2,contains,0.0
FR_LFDN,FR,LFDN,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort/Saint-Agnant,45.887798,-0.983056,matched,FRI3,contains,0.0
FR_LFHP,FR,LFHP,Le Puy-Loudes Airfield,"Chaspuzac, Haute-Loire",45.0807,3.76289,matched,FRK1,contains,0.0
FR_LFJL,FR,LFJL,Metz-Nancy-Lorraine Airport,Goin,48.982101,6.25132,matched,FRF3,contains,0.0
FR_LFJR,FR,LFJR,Angers Marcé airport,Angers,47.560299,-0.312222,matched,FRG0,contains,0.0
FR_LFKB,FR,LFKB,Bastia-Poretta International airport,Bastia,42.5527,9.48373,matched,FRM0,contains,0.0
FR_LFKC,FR,LFKC,Calvi Sainte Catherine Airport,Calvi,42.530422,8.792984,matched,FRM0,contains,0.0
FR_LFKF,FR,LFKF,Figari Sud-Corse Airport,Figari,41.50185,9.097092,matched,FRM0,contains,0.0
FR_LFKJ,FR,LFKJ,Ajaccio Napoléon Bonaparte airport,Ajaccio,41.923599,8.80292,matched,FRM0,contains,0.0
FR_LFLB,FR,LFLB,Chambéry Aix les Bains airport,Chambéry,45.6381,5.88023,matched,FRK2,contains,0.0
FR_LFLC,FR,LFLC,Clermont-Ferrand Auvergne airport,Clermont-Ferrand,45.786701,3.16917,matched,FRK1,contains,0.0
FR_LFLJ,FR,LFLJ,Courchevel Altiport,Saint-Bon,45.397531,6.63498,matched,FRK2,contains,0.0
FR_LFLL,FR,LFLL,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",45.725996,5.090139,matched,FRK2,contains,0.0
FR_LFLP,FR,LFLP,Annecy Meythet airport,Annecy,45.928947,6.0987,matched,FRK2,contains,0.0
FR_LFLS,FR,LFLS,Grenoble Alpes Isère Airport,Grenoble,45.3629,5.32937,matched,FRK2,contains,0.0
FR_LFLW,FR,LFLW,Aurillac airport,Aurillac,44.891399,2.42194,matched,FRK1,contains,0.0
FR_LFLX,FR,LFLX,Châteauroux Déols airport,Châteauroux,46.860221,1.728326,matched,FRB0,contains,0.0
FR_LFLY,FR,LFLY,Lyon Bron Airport,"Chassieu, Lyon",45.727947,4.943991,matched,FRK2,contains,0.0
FR_LFMD,FR,LFMD,Cannes Mandelieu Airport,Cannes,43.547998,6.955176,matched,FRL0,contains,0.0
FR_LFMH,FR,LFMH,Saint-Étienne-Bouthéon Airport,"Andrézieux-Bouthéon, Loire",45.5406,4.29639,matched,FRK2,contains,0.0
FR_LFMK,FR,LFMK,Carcassonne Salvaza Airport,Carcassonne,43.216,2.30632,matched,FRJ1,contains,0.0
FR_LFML,FR,LFML,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",43.438088,5.2125,matched,FRL0,contains,0.0
FR_LFMN,FR,LFMN,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",43.658401,7.21587,matched,FRL0,contains,0.0
FR_LFMP,FR,LFMP,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan/Rivesaltes,42.740398,2.87067,matched,FRJ1,contains,0.0
FR_LFMQ,FR,LFMQ,Le Castellet Airport,"Le Castellet, Var",43.252499,5.78519,matched,FRL0,contains,0.0
FR_LFMT,FR,LFMT,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,43.576199,3.96301,matched,FRJ1,contains,0.0
FR_LFMU,FR,LFMU,Béziers Vias airport,Béziers,43.323502,3.3539,matched,FRJ1,contains,0.0
FR_LFMV,FR,LFMV,Avignon Caumont airport,Avignon,43.907299,4.90183,matched,FRL0,contains,0.0
FR_LFOB,FR,LFOB,Beauvais-Tillé airport,Beauvais,49.454399,2.11278,matched,FRE2,contains,0.0
FR_LFOH,FR,LFOH,Le Havre-Octeville Airport,Le Havre,49.534038,0.088406,matched,FRD2,contains,0.0
