geo,origin,immig_total_full,immig_total_rank_window,origin_group,source,rank_window_label
ES,MC,105.0,0.0,OTHER,od_prev_residence,2018--2024
ES,JM,93.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,ST,85.0,0.0,SSA,od_prev_residence,2018--2024
ES,ER,80.0,0.0,SSA,od_prev_residence,2018--2024
ES,GY,80.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,KP,78.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,CF,75.0,0.0,SSA,od_prev_residence,2018--2024
ES,TV,69.0,0.0,OTHER,od_prev_residence,2018--2024
ES,MU,68.0,0.0,SSA,od_prev_residence,2018--2024
ES,UG,57.0,0.0,SSA,od_prev_residence,2018--2024
ES,SR,55.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,BS,53.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,TT,52.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,YE,52.0,0.0,MENA,od_prev_residence,2018--2024
ES,OM,51.0,0.0,MENA,od_prev_residence,2018--2024
ES,BI,47.0,0.0,SSA,od_prev_residence,2018--2024
ES,QA,47.0,0.0,MENA,od_prev_residence,2018--2024
ES,LC,46.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,TD,46.0,0.0,SSA,od_prev_residence,2018--2024
ES,SM,43.0,0.0,OTHER,od_prev_residence,2018--2024
ES,ZM,43.0,0.0,SSA,od_prev_residence,2018--2024
ES,BH,40.0,0.0,MENA,od_prev_residence,2018--2024
ES,TJ,33.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,MM,32.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,TL,28.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,BB,26.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,BZ,26.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,KH,24.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,PG,24.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,LA,22.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,ME,22.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,VA,22.0,0.0,OTHER,od_prev_residence,2018--2024
ES,KI,21.0,0.0,OTHER,od_prev_residence,2018--2024
ES,MW,21.0,0.0,SSA,od_prev_residence,2018--2024
ES,BW,20.0,0.0,SSA,od_prev_residence,2018--2024
ES,FJ,19.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,SC,19.0,0.0,SSA,od_prev_residence,2018--2024
ES,TM,16.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,AG,15.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,VU,15.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,CK,13.0,0.0,OTHER,od_prev_residence,2018--2024
ES,DJ,10.0,0.0,SSA,od_prev_residence,2018--2024
ES,MV,10.0,0.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,NR,9.0,0.0,OTHER,od_prev_residence,2018--2024
ES,BN,8.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,PW,8.0,0.0,OTHER,od_prev_residence,2018--2024
ES,KM,7.0,0.0,SSA,od_prev_residence,2018--2024
ES,LS,7.0,0.0,SSA,od_prev_residence,2018--2024
ES,TO,7.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,VC,7.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,MH,6.0,0.0,OTHER,od_prev_residence,2018--2024
ES,BT,3.0,0.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,WS,3.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,SB,2.0,0.0,OTHER,od_prev_residence,2018--2024
