model,term,coef,std_err,p_value,t_stat,nobs,r2_within,r2_overall
annual_fe_dehaas_core,L1_gdp_pc_growth,0.56379397405325,0.11419493061122565,2.1392292415267633e-06,4.937119108839212,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_unemployment_rate,-0.5182197137268179,0.2032933881072141,0.01183169318006505,-2.5491223229233406,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_inflation_hicp,0.2951906183604248,0.19218355225754127,0.12670691255066124,1.5359827357382065,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_long_rate,-0.7517725302382796,0.4737872214064601,0.11473718261709953,-1.5867302794841254,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core,L1_pop_growth,-0.8020112432351785,1.0916280046712117,0.46370500076438104,-0.7346928072596827,191.0,-0.22503624950059575,-0.43397497570786703
annual_fe_dehaas_core_interactions,Intercept,5.431550003722131,2.7842682559147645,0.053009064495424196,1.9507998168580234,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_net_migration_rate,0.13408100359196104,0.05771914602712721,0.021570377686177755,2.322990079044912,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_origin_income_hump,-4.562765822670002,1.7785034644193418,0.011317629836877119,-2.5655085379098126,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_network_stock_per_1000,0.027648272683223285,0.01142818280993873,0.016788884836375972,2.419306126182936,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_network_hhi,-9.71189777054149,4.104635762204383,0.019300106609081658,-2.3660802890158865,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_asylum_share_inflows,5.378517654295303,2.807591767199149,0.05737090942744194,1.9157050241890783,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_naturalization_rate_per_1000,-0.09071351111177475,0.19388169327438687,0.6405723477677383,-0.4678807451067307,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_air_growth,0.004482300752231021,0.025984233213164662,0.8632843822462579,0.17250078982358066,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_gdp_pc_growth,0.5712985875220931,0.11201288102551693,1.0443356088796207e-06,5.100293665261134,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_unemployment_rate,-0.5196809856089487,0.20111292434123462,0.01075338172247653,-2.584025801977747,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_inflation_hicp,0.38233375159811056,0.2069183571366437,0.0666758040142188,1.8477517262793022,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_long_rate,-0.7848664649224224,0.5357144814951782,0.14506307714543887,-1.4650835324291802,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_pop_growth,-0.8376654818012363,1.0618414808940206,0.43147011271732083,-0.7888799758472059,191.0,-0.2989893269004682,-0.4778349024943207
annual_fe_dehaas_core_interactions,L1_net_migration_rate:L1_origin_income_hump,-0.1589077473332871,0.17396188137657148,0.36251544518724055,-0.913463030382518,191.0,-0.2989893269004682,-0.4778349024943207
