model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall
country_iv_fe,C(geo)[T.IS],8.015149474301893,5.668358384683121,1.4140160043444332,0.15735720343614945,249.0,,
country_iv_fe,C(geo)[T.IT],-0.3381512664225852,1.3046683883820451,-0.2591856056556531,0.7954920367488587,249.0,,
country_iv_fe,C(geo)[T.LT],4.047919354228185,0.6558057998064856,6.172436040398911,6.724574230787539e-10,249.0,,
country_iv_fe,C(geo)[T.LU],1.7246863400681605,2.791471574584735,0.6178412690176608,0.5366799765901549,249.0,,
country_iv_fe,C(geo)[T.NL],1.2263045358789668,0.7020291994436109,1.7467999007033714,0.08067205383163922,249.0,,
country_iv_fe,C(geo)[T.NO],-0.41249964548904927,1.8964660972011624,-0.21750963336377244,0.8278112003647706,249.0,,
country_iv_fe,C(geo)[T.PL],-0.013837740406188459,2.3155925914141164,-0.005975895957474042,0.9952319532574678,249.0,,
country_iv_fe,C(geo)[T.SE],0.8620432664367854,0.6046752533548205,1.4256301405656213,0.1539751313179576,249.0,,
country_iv_fe,C(geo)[T.SI],0.7799637501245229,0.6392663628863215,1.2200919607328393,0.22243001579576704,249.0,,
country_iv_fe,C(geo)[T.SK],1.9917570341436317,1.296670991864321,1.5360542856595667,0.12452506683953257,249.0,,
country_iv_fe,C(geo)[T.UK],-0.9668204502285107,1.1508707400985227,-0.8400773575542845,0.4008650145069912,249.0,,
country_iv_fe,C(year)[T.2007],-5.547140036039423,1.8344524875556016,-3.0238668342023716,0.002495662634693918,249.0,,
country_iv_fe,C(year)[T.2008],-39.233497202993476,3.10914254395963,-12.618751520162819,0.0,249.0,,
country_iv_fe,C(year)[T.2009],-42.63069791870703,4.398526743402418,-9.692040177464206,0.0,249.0,,
country_iv_fe,C(year)[T.2010],-41.04145601492428,4.061769132894277,-10.104330076899164,0.0,249.0,,
country_iv_fe,C(year)[T.2011],-36.08248228006528,2.9417353327420988,-12.265713328612565,0.0,249.0,,
country_iv_fe,C(year)[T.2012],-41.095128133161325,3.1426004123210274,-13.076790791486511,0.0,249.0,,
country_iv_fe,C(year)[T.2013],-38.4204103674133,4.893592501214607,-7.851166675173141,4.218847493575595e-15,249.0,,
country_iv_fe,C(year)[T.2014],-34.637919933128615,5.035337452113211,-6.878966953563739,6.028733068319525e-12,249.0,,
country_iv_fe,C(year)[T.2015],-34.017033288587754,4.970818234273087,-6.843346846610712,7.736478124797941e-12,249.0,,
country_iv_fe,C(year)[T.2016],-34.27126691129206,5.024697040067695,-6.82056383459695,9.068301665138279e-12,249.0,,
country_iv_fe,C(year)[T.2017],-33.93358804684476,5.526016266109283,-6.140696373797769,8.216050062515023e-10,249.0,,
country_iv_fe,C(year)[T.2018],-36.65845181689883,5.985356458423432,-6.124689827839397,9.086043029071789e-10,249.0,,
country_iv_fe,C(year)[T.2019],-37.463758818045335,6.002649908326738,-6.241203366879096,4.3421732875970065e-10,249.0,,
country_iv_fe,C(year)[T.2020],-37.17845521786603,6.3648647463099195,-5.84120114090728,5.182578588502906e-09,249.0,,
country_iv_fe,C(year)[T.2021],-25.736958883204352,9.430846760295433,-2.7290188821176553,0.0063523066550477125,249.0,,
country_iv_fe,C(year)[T.2022],-34.426187946965456,5.902765807152824,-5.832213079714032,5.4697006923731806e-09,249.0,,
country_iv_fe,C(year)[T.2023],-47.32705958363658,4.873441067066127,-9.711220251223448,0.0,249.0,,
country_iv_fe,C(year)[T.2024],-38.94571888747487,6.533536739024274,-5.9608938379201755,2.5086190902356975e-09,249.0,,
country_iv_fe,C(year)[T.2025],-35.218046136565135,5.559407274134688,-6.334856289521758,2.3756263622942697e-10,249.0,,
country_iv_fe,L1_net_migration_rate,-0.21256749224278337,0.41857188605693385,-0.5078398701002821,0.6115656464488521,249.0,,
country_iv_fe_asylum,Intercept,1.7465537766083798,7.37659210564093,0.23676973751507532,0.8128354300279035,245.0,,
country_iv_fe_asylum,L1_air_growth,0.03921967811732552,0.042018397170823764,0.9333930077789453,0.35061708925984725,245.0,,
country_iv_fe_asylum,L1_gdp_pc_growth,0.340402027546844,0.2468681318250046,1.3788820170119893,0.1679311335626852,245.0,,
country_iv_fe_asylum,L1_unemployment_rate,-0.6609435955408998,0.42542855704397803,-1.5535948036336822,0.12028109959907174,245.0,,
country_iv_fe_asylum,L1_inflation_hicp,0.46730272993720945,0.23920646007676072,1.9535539708553575,0.050753988659065774,245.0,,
country_iv_fe_asylum,L1_long_rate,-0.49723472382750344,0.7562189210572496,-0.6575274830895963,0.5108418054127228,245.0,,
country_iv_fe_asylum,L1_pop_growth,-0.12534348900089753,0.9921449894490746,-0.12633585850239407,0.8994660726674466,245.0,,
country_iv_fe_asylum,C(geo)[T.BG],3.5420725434436804,1.3324274062248573,2.6583606182939232,0.007852182280574604,245.0,,
country_iv_fe_asylum,C(geo)[T.CZ],1.2593297184555468,1.1832774610452046,1.0642725479983064,0.28720525026385824,245.0,,
country_iv_fe_asylum,C(geo)[T.DE],-2.200258751459728,1.2653538725937783,-1.7388485538433138,0.08206140548472551,245.0,,
country_iv_fe_asylum,C(geo)[T.DK],-0.4501593156068395,0.7579184152072117,-0.5939416519966306,0.5525511391704436,245.0,,
