geo,L1_net_migration_rate,L1_origin_income_hump,L1_network_stock_per_1000,L1_network_hhi,L1_asylum_share_inflows,L1_naturalization_rate_per_1000,L1_air_growth,L1_gdp_pc_growth,L1_unemployment_rate,L1_inflation_hicp,L1_long_rate,L1_pop_growth,L1_net_migration_rate:L1_origin_income_hump,contrib__L1_net_migration_rate,contrib__L1_origin_income_hump,contrib__L1_network_stock_per_1000,contrib__L1_network_hhi,contrib__L1_asylum_share_inflows,contrib__L1_naturalization_rate_per_1000,contrib__L1_air_growth,contrib__L1_gdp_pc_growth,contrib__L1_unemployment_rate,contrib__L1_inflation_hicp,contrib__L1_long_rate,contrib__L1_pop_growth,contrib__L1_net_migration_rate:L1_origin_income_hump,pred_hpi_growth_next_year_pp,contrib_migration_system_pp,contrib_macro_air_pp,last_input_data_year,earliest_input_data_year,max_predictor_staleness_years,avg_predictor_staleness_years,projection_target_year,projection_source_year,model,assumption
ES,11.8,0.24233361855463398,259.02686143958744,0.04497166578310413,0.1284183454113966,4.995449654625657,4.656801775221453,1.8,10.376,2.7,3.21381,0.9381847474781324,2.859536698944681,1.58215584238514,-1.105711552425033,7.1616452973611855,-0.436760220656466,0.6907003379305888,-0.45315477775319557,0.020873186100065777,1.0283374575397675,-5.392209906678452,1.0323011293148985,-2.52241169363233,-0.7858849785148411,-0.45440253524616325,5.797027589447296,6.984472391596057,-6.618994805870891,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
SE,2.7,0.2060960674921758,228.09399464939654,0.0261360012335866,0.05839221322409356,6.442868336204265,-0.08079583041507021,1.1,8.694,2.6,2.44662,0.3406246710628835,0.5564593822288747,0.36201870969829475,-0.9403680929399898,6.306404961472168,-0.25383017211133935,0.3140635496991629,-0.5844552084079669,-0.00036215121144659755,0.6284284462743024,-4.5181064888842,0.9940677541550873,-1.920269990408497,-0.28532952919927795,-0.08842570691246306,5.445386084945965,5.115408040497867,-5.101571959274032,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
NO,6.2,0.1467741423629844,244.17459713737318,0.0389720224894175,0.07249118452714258,6.8027161310727084,3.4502471857213854,0.4,4.637,2.8,6.1475,0.7918346246189145,0.9099996826505032,0.8313022222701583,-0.6696960404255264,6.7510058439702645,-0.37849229832846665,0.38989511576001484,-0.6170982653463131,0.015465045555941859,0.22851943500883723,-2.4097607302686948,1.0705345044747094,-4.824966593110592,-0.6632925323383041,-0.14460599964399762,5.010359711300163,6.162310578256134,-6.583500870678102,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
PT,13.4,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.013756356704177602,1.6150624806199634,4.596832421182739,0.8,6.164,2.2,3.07583,1.0277068806651357,-0.4057913351016802,1.7966854481322776,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.07398880739220279,-0.14650798828192946,0.020604385419347244,0.45703887001767446,-3.20331359529356,0.8411342535158431,-2.414115818802334,-0.8608745793428066,0.06448338694837503,4.915067015464233,4.643043496227937,-5.159526484485835,2025.0,2008.0,17,4.666666666666667,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
HR,8.1,0.3308595448615742,127.42677500869377,0.18756773047617928,0.014206361608728388,0.1698306938596596,7.212645389288556,2.8,5.002,4.4,2.99293,0.3201267625202675,2.679962313378751,1.0860561290948842,-1.5096346233985432,3.5231302225840966,-1.8216386234371327,0.07640916671584866,-0.015405938534558638,0.03232924585398355,1.5996360450618605,-2.599444290015961,1.6822685070316863,-2.3490503888602654,-0.2681591387640099,-0.4258667741571222,4.4421795428968975,0.9130495588674727,-1.9024200196927061,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
SI,5.4,0.578050857768585,180.63475158772647,0.15771222782378982,0.16549071859007358,0.7789427540846076,10.153813656563848,0.8,3.175,2.5,3.1024,0.3243869358538376,3.1214746319503592,0.7240374193965895,-2.637510697591578,4.994238867963746,-1.531685033788996,0.8900947515587266,-0.07066063217809043,0.04551244659082954,0.45703887001767446,-1.649987129308412,0.9558343789952762,-2.434969720775323,-0.2717277389120316,-0.49602650212123306,4.405739283569309,1.872488173239165,-2.8982988933919867,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
EE,1.0,0.18584455058619193,162.44716069912644,0.15462746790073167,0.07137490608564989,0.7892324677644661,-1.0048163556893641,0.9,8.313,4.8,3.31443,-0.34189786434719593,0.18584455058619193,0.134081003591961,-0.8479651637441428,4.491383395624827,-1.5017261607695918,0.3838911924553372,-0.07159404823432526,-0.004503889106960449,0.5141687287698837,-4.320108033367191,1.8352020076709303,-2.6013849573328245,0.2863960392652076,-0.02953213888781888,3.699857979657423,2.558538080036247,-4.290230104100955,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
IT,4.1,0.23509981069408387,97.74261110036198,0.04886760508952108,0.3346450154235212,3.6199513939652834,5.733586160052558,0.6,6.391,1.7,3.59284,-0.0628520814483835,0.9639092238457437,0.5497321147270401,-1.0727053811511533,2.702414364473047,-0.47459718492062175,1.7998941233773327,-0.32837850100055405,0.025699657558184832,0.3427791525132558,-3.321281179026791,0.6499673777167878,-2.819899629831876,0.052649019088670715,-0.15317264339510434,3.384651293850349,3.023186892109986,-5.070085601981768,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
HU,0.4,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.0006685937880866199,0.2530275807354863,10.523871064962975,0.9,4.521,4.4,6.93975,-0.47191779292923286,-0.012113174182139709,0.05363240143678441,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.003596043492776058,-0.022953020256634007,0.0471711551908656,0.5141687287698837,-2.349477735938057,1.6822685070316863,-5.446777049945381,0.3953092453846419,0.0019248772223395536,3.1648069981480482,2.890594143932278,-5.157337149506361,2025.0,2022.0,3,1.0833333333333333,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
LU,11.7,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.08279883381924198,8.519049540123358,2.922594345271712,-1.2,6.343,2.5,2.90111,1.4657325099808105,-0.35431034482758644,1.5687477420259437,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.44533498945185596,-0.7727928951197394,0.013099946832277462,-0.6855583050265116,-3.2963364917175615,0.9558343789952762,-2.276983950051089,-1.227793529164811,0.05630265875343193,3.065798390738218,4.1519863371485055,-6.517737950132418,2025.0,2007.0,18,4.833333333333333,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
FR,2.2,-0.5,17.772687079721283,0.11394674110633875,0.29618627258758035,1.424897121601776,4.220037138433419,0.6,7.542,0.9,3.34979,0.2459183386701369,-1.1,0.29497820790231427,2.281382911335001,0.49138409869373184,-1.1066391009111196,1.5930430960722217,-0.1292574208735585,0.018915475640042874,0.3427791525132558,-3.919433993462691,0.34410037643829944,-2.6291378355324815,-0.20599730364587984,0.17479852206661584,2.982466189957883,3.5996903142852066,-6.0487741280494545,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
SK,0.4,-0.03028293545534927,23.699063190189587,0.09316342198335767,0.019783118405627197,0.1016800791041543,18.897050418528494,1.9,5.359,4.2,3.42929,-0.09656831012101463,-0.012113174182139709,0.05363240143678441,0.13817394290578927,0.6552381614192992,-0.9047936302561874,0.10640385160168023,-0.009223756985660832,0.0847022633059174,1.0854673162919768,-2.7849704018783563,1.6058017567120642,-2.6915347194938137,0.08089194002425093,0.0019248772223395536,2.853264006028214,0.04135584734404449,-2.619641845037961,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
UK,2.946869673244157,0.2777421902724133,147.46384049665912,0.07553136872159558,0.07137490608564989,1.4734470646317084,1.9076306512424424,0.0541839994899789,4.746,3.2715729463592,4.12,1.0659564474212,0.818470037494183,0.3951192432432908,-1.2672725732884762,4.077120472966963,-0.7335529314932113,0.3838911924553372,-0.13366155667008028,0.008550574303042912,0.030955242374922757,-2.4664059577000708,1.250832758208397,-3.23364983548038,-0.8929149211082138,-0.13006122991799166,2.72050048161566,2.5915826172958316,-5.302632139402302,2025.0,2019.0,6,1.0833333333333333,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
IS,10.8,-0.22846481876332622,275.24515420357375,0.08584054982277914,0.18700985320731953,1.673724333218141,-1.9400803826959745,-3.1,3.625,3.7,12.4573766403134,1.5205768707836853,-2.4674200426439232,1.448074838793179,1.042431466735801,7.610053078156225,-0.8336746444459044,1.0058357970027412,-0.15182941089943153,-0.008696023758746774,-1.7710256213184885,-1.883843572832439,1.414634880913009,-9.777377165889941,-1.273734757080832,0.39209216070154906,2.644491029798851,10.51298328604416,-13.300042259967437,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
RO,3.7,-0.11529645703113428,87.57133051416709,0.12647108788966527,0.007904710718997131,0.6597375072869742,5.916174460578875,1.0,5.992,6.8,6.9585,-0.16557491371749222,-0.4265968910151969,0.49609971329025576,0.5260707336166,2.421196025288356,-1.228274276513597,0.042515626154223385,-0.059847105698131474,0.026518073234982526,0.5712985875220931,-3.113928465768821,2.5998695108671512,-5.4614932961626765,0.13869638987336125,0.06778955097060872,2.458061070396537,2.2655502671083156,-5.2390392004339095,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
FI,8.3,0.24745583717357914,130.96707960293733,0.04255048008756916,0.035488157586179944,2.1969924352575587,4.828882601838913,-0.2,9.461,1.8,2.99698,0.5715408559970214,2.053883448540707,1.1128723298132766,-1.1290830364758,3.6210135293874104,-0.41324591269793304,0.19087368209568262,-0.1992968976882215,0.02164450411865775,-0.11425971750441861,-4.916701804846264,0.6882007528765989,-2.3522290980432015,-0.478760046507836,-0.3263779920927271,1.1362002961573543,2.8567557023416876,-7.152105409906464,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
CZ,3.4,0.7084584451516585,85.17236048990166,0.40601571523918695,0.008272132999757889,0.4090499318912007,6.891331000362655,2.5,2.825,2.3,4.28686,0.08202639105228116,2.4087587135156387,0.4558754122126674,-3.2325299803199172,2.354868647898587,-3.9431831196362683,0.04449181337787657,-0.037106355541883115,0.03088901812679834,1.4282464688052325,-1.4680987843452802,0.8793676286756541,-3.3646126538173355,-0.06871067638122572,-0.38277042103419684,-1.8717229982571597,-4.740354003043134,-2.5629189989361563,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
