model,term,coef,std_err,t_stat,p_value,nobs,r2_within,r2_overall,entity_dim,time_dim
quarterly_ext_nonair_mobility,L1_tour_total_yoy,-0.022448961654870363,0.011182913688820921,-2.007434044430802,0.045506253565587684,380.0,0.021827940131751156,-0.11009752426730435,geo,quarter_idx
quarterly_ext_nonair_mobility,L1_asylum_first_q_per100k,0.01988412217184964,0.00743031739378177,2.676079784759951,0.007815018367554938,380.0,0.021827940131751156,-0.11009752426730435,geo,quarter_idx
quarterly_ext_nonair_mobility,L1_tps_ua_stock_qe_per100k,-0.0008419172419657457,0.0006123435304617146,-1.374909997548157,0.1700782149654927,380.0,0.021827940131751156,-0.11009752426730435,geo,quarter_idx
quarterly_ext_full,Intercept,-0.25385815311522913,3.2398058365918616,-0.07835597746261151,0.9375961033254572,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
quarterly_ext_full,L1_air_yoy,0.011796216620307453,0.01988710262538137,0.59315913647734,0.5535127970975664,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
quarterly_ext_full,L1_tour_total_yoy,-0.021374734808102043,0.010201635966205685,-2.095226185183315,0.036972612296185314,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
quarterly_ext_full,L1_asylum_first_q_per100k,0.02607313192493038,0.008801072086651408,2.962494985636525,0.0032908152486543774,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
quarterly_ext_full,L1_tps_ua_stock_qe_per100k,-0.0006365969433359662,0.000836840409311174,-0.7607148701864987,0.4474131635682814,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
quarterly_ext_full,L1_pax_per_move_total,0.04807246942057074,0.035695489010870406,1.3467379423190182,0.17906124000089463,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
quarterly_ext_full,L1_airfare_yoy_q,0.006863479114184646,0.016492746835451644,0.4161513653645247,0.6775909639608804,352.0,-0.020922460072796634,-0.07002103477235244,geo,quarter_idx
origin_remit_baseline,Intercept,1.9143357234147402,0.1858701184731717,10.299319434129771,0.0,4378.0,-0.0010671996647964033,-0.0008031508037700252,origin,year
origin_remit_baseline,L1_outflow_rate_per_1000,0.10818553006824094,0.0588609196562382,1.837985724655174,0.06613582499926629,4378.0,-0.0010671996647964033,-0.0008031508037700252,origin,year
origin_remit_baseline,L1_wb_remit_in_pct_gdp,0.023145591688800683,0.03750733027664028,0.6170951522832286,0.5372057628220059,4378.0,-0.0010671996647964033,-0.0008031508037700252,origin,year
origin_remit_interaction,Intercept,1.1777270814696057,0.3734555678425152,3.1535935808198974,0.0016252346564320508,4025.0,0.006659109282896036,-0.012910735856093591,origin,year
origin_remit_interaction,L1_outflow_rate_per_1000,0.09022533173242021,0.08529302318215017,1.0578278077884131,0.29020078773921476,4025.0,0.006659109282896036,-0.012910735856093591,origin,year
origin_remit_interaction,L1_wb_remit_in_pct_gdp,0.04137146929646648,0.03560868390415663,1.161836517401789,0.2453744069780881,4025.0,0.006659109282896036,-0.012910735856093591,origin,year
origin_remit_interaction,L1_outflow_x_remit_in,0.004419160742405764,0.010964429096856573,0.40304522044587865,0.686937495997952,4025.0,0.006659109282896036,-0.012910735856093591,origin,year
origin_remit_interaction,L1_wb_unemployment,0.09073379965555343,0.05109806788462324,1.7756796570161049,0.07586526376604974,4025.0,0.006659109282896036,-0.012910735856093591,origin,year
