country,period_str,quarter_end,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
BE,2002Q2,2002-06-30,0.055441515268314534,65.0,2.0,2.0,2.0,5.544151526831453
BE,2002Q3,2002-09-30,0.006469218278159605,66.0,2.0,2.0,2.0,0.6469218278159605
BE,2002Q4,2002-12-31,0.04657296455547666,66.0,2.0,2.0,2.0,4.657296455547666
BE,2003Q1,2003-03-31,0.06306450763452887,64.0,2.0,2.0,2.0,6.306450763452887
BE,2003Q2,2003-06-30,0.07666934869192388,65.0,2.0,2.0,2.0,7.666934869192388
BE,2003Q3,2003-09-30,0.05634115450404509,66.0,2.0,2.0,2.0,5.634115450404509
BE,2003Q4,2003-12-31,0.013252034382792433,66.0,2.0,2.0,2.0,1.3252034382792433
BE,2004Q1,2004-03-31,0.08819796975348604,65.0,2.0,2.0,2.0,8.819796975348604
BE,2004Q2,2004-06-30,-0.005754351857400142,65.0,2.0,2.0,2.0,-0.5754351857400142
BE,2004Q3,2004-09-30,0.021295093231024742,66.0,2.0,2.0,2.0,2.129509323102474
BE,2004Q4,2004-12-31,0.055333234164716805,66.0,2.0,2.0,2.0,5.5333234164716805
BE,2005Q1,2005-03-31,0.029978542928997154,64.0,2.0,2.0,2.0,2.9978542928997154
BE,2005Q2,2005-06-30,0.14957822706704782,65.0,2.0,2.0,2.0,14.957822706704782
BE,2005Q3,2005-09-30,0.034038009585613205,66.0,2.0,2.0,2.0,3.4038009585613205
BE,2005Q4,2005-12-31,0.055410105890545625,65.0,2.0,2.0,2.0,5.5410105890545625
BE,2006Q1,2006-03-31,0.03757354890705478,65.0,2.0,2.0,2.0,3.7573548907054777
BE,2006Q2,2006-06-30,-0.03356810900679752,65.0,2.0,2.0,2.0,-3.356810900679752
BE,2006Q3,2006-09-30,0.15746529883922666,65.0,2.0,2.0,2.0,15.746529883922666
BE,2006Q4,2006-12-31,0.037108916653666446,63.0,2.746031746031746,2.0,3.0,3.7108916653666446
BE,2007Q1,2007-03-31,0.04642228369655044,64.0,3.0,3.0,3.0,4.642228369655044
BE,2007Q2,2007-06-30,-0.06655830507992733,62.0,3.0,3.0,3.0,-6.655830507992732
BE,2007Q3,2007-09-30,-0.03807871666052798,65.0,3.0,3.0,3.0,-3.807871666052798
BE,2007Q4,2007-12-31,-0.0004361158450467695,64.0,3.0,3.0,3.0,-0.04361158450467695
BE,2008Q1,2008-03-31,-0.000720670875352436,62.0,3.0,3.0,3.0,-0.0720670875352436
BE,2008Q2,2008-06-30,-0.09803746801687063,64.0,3.0,3.0,3.0,-9.803746801687064
BE,2008Q3,2008-09-30,0.03890705188275345,66.0,3.0,3.0,3.0,3.890705188275345
BE,2008Q4,2008-12-31,-0.0942353839545308,64.0,3.0,3.0,3.0,-9.423538395453079
BE,2009Q1,2009-03-31,-0.08444797392063996,63.0,3.0,3.0,3.0,-8.444797392063997
